,Volumetry,Relevance,Cortical Thickness,Combination,Category
Right_Pars_Triangularis,0.04294718185239832,0.0703460508599103,0.049319378806165215,"(False, False, False)",No measurement relevant
Left_Cerebellum_White_Matter,0.04165507211510988,0.0,0.0,"(False, False, False)",No measurement relevant
Cerebellum,0.041475216825929806,0.024578832771280368,0.0,"(False, False, False)",No measurement relevant
Left_Pars_Orbitalis,0.0414706532697382,0.06671797616502051,0.05040803987564413,"(False, False, False)",No measurement relevant
Right_Cerebellum,0.039995362156836745,0.04398313653992947,0.0,"(False, False, False)",No measurement relevant
Right_Pars_Orbitalis,0.03723308666196745,0.08701181849617212,0.03494291200533306,"(False, False, False)",No measurement relevant
Right_Precentral,0.036763535913000744,0.03277882468655635,0.0337095434700152,"(False, False, False)",No measurement relevant
Left_Paracentral,0.036433469799835194,0.003584017637919601,0.027736392640492102,"(False, False, False)",No measurement relevant
Left_Superior_Parietal,0.03413472027812681,0.04263256203790533,0.052097120811337216,"(False, False, False)",No measurement relevant
Left_Transverse_Temporal,0.033857656625728705,0.06465669654599715,0.01597224725776547,"(False, False, False)",No measurement relevant
Right_Cerebellum_Cortex,0.03265016225853801,0.036736767536182935,0.0,"(False, False, False)",No measurement relevant
Right_Caudal_Anterior,0.03237468432202384,0.036328873797522476,0.011621196460961158,"(False, False, False)",No measurement relevant
Right_Choroid_Plexus,0.03128966790033161,0.0,0.0,"(False, False, False)",No measurement relevant
Left_Precentral,0.030427530397694635,0.04677037475447232,0.04940537631638087,"(False, False, False)",No measurement relevant
Right_Superior_Parietal,0.030331969898037325,0.02295768379049301,0.05766360839882134,"(False, False, False)",No measurement relevant
Left_Cerebellum_Cortex,0.02895706115096841,0.03910089700447106,0.0,"(False, False, False)",No measurement relevant
Right_Paracentral,0.028922104126102077,0.008399279526422276,0.019648768322430676,"(False, False, False)",No measurement relevant
Right_Transverse_Temporal,0.027975150323653164,0.02566587393646591,0.0,"(False, False, False)",No measurement relevant
Right_Postcentral,0.027864348094329916,0.03268278339965658,0.05698026542240919,"(False, False, False)",No measurement relevant
Left_Postcentral,0.025107097182650584,0.035063809789417366,0.05116138905751022,"(False, False, False)",No measurement relevant
Left_Pericalcarine,0.024740330337235772,0.011549761669065628,0.009239322637577096,"(False, False, False)",No measurement relevant
Posterior,0.020303257798010677,0.0,0.0,"(False, False, False)",No measurement relevant
Left_Lateral_Occipital,0.01911671180639818,0.009898013707736464,0.049510635796552904,"(False, False, False)",No measurement relevant
Left_Pars_Triangularis,0.01893989325074541,0.09859890600204757,0.06294371004365518,"(False, False, False)",No measurement relevant
Right_Lingual,0.01701846029848708,0.008529927219953937,0.012577152453212115,"(False, False, False)",No measurement relevant
4th-Ventricle,0.015891931528170034,0.0,0.0,"(False, False, False)",No measurement relevant
Left_Occipital_Lobe,0.014067992390899953,0.039388138214957014,0.04499982370962741,"(False, False, False)",No measurement relevant
Mid_Posterior,0.013381175833425463,0.0,0.0,"(False, False, False)",No measurement relevant
Right_Lateral_Occipital,0.013055181087619605,0.0557507467063294,0.05158780113774153,"(False, False, False)",No measurement relevant
Right_Occipital_Lobe,0.012524538732836987,0.05025642008974884,0.039922099881726236,"(False, False, False)",No measurement relevant
Right_Pericalcarine,0.01189450951063531,0.021463549024956396,0.0,"(False, False, False)",No measurement relevant
Left_Lingual,0.009749476134219393,0.054531932356784996,0.001505354885652288,"(False, False, False)",No measurement relevant
Right_Cuneus,0.005346154688036897,0.016995026929597312,0.030845455751074002,"(False, False, False)",No measurement relevant
Left_Cuneus,0.0004474093155746317,0.0,0.0185587280339381,"(False, False, False)",No measurement relevant
